time,phase,fingertip_x,fingertip_y,fingertip_z,target_x,target_y,target_z,distance,touched
0.002,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.004,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.006,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.008,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.01,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.012,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.014,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.016,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.018000000000000002,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.020000000000000004,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.022000000000000006,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.024000000000000007,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.02600000000000001,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.02800000000000001,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.030000000000000013,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.032000000000000015,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.034000000000000016,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.03600000000000002,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.03800000000000002,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.04000000000000002,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.04200000000000002,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.044000000000000025,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.04600000000000003,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.04800000000000003,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.05000000000000003,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.05200000000000003,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.054000000000000034,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.056000000000000036,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.05800000000000004,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.06000000000000004,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.06200000000000004,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.06400000000000004,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.06600000000000004,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.06800000000000005,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.07000000000000005,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.07200000000000005,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.07400000000000005,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.07600000000000005,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.07800000000000006,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.08000000000000006,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.08200000000000006,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.08400000000000006,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.08600000000000006,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.08800000000000006,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.09000000000000007,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.09200000000000007,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.09400000000000007,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.09600000000000007,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.09800000000000007,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.10000000000000007,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.10200000000000008,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.10400000000000008,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.10600000000000008,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.10800000000000008,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.11000000000000008,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.11200000000000009,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.11400000000000009,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.11600000000000009,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.11800000000000009,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.12000000000000009,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.1220000000000001,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.1240000000000001,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
0.12600000000000008,REST,0.19759842218824178,-0.060901315743422293,0.9290381090232712,0.37549282987583743,-0.0405141709042154,1.015480865920354,0.19883260844535397,0
